adm_province,district1,province,district
강원도,강릉시,강원,강릉시
강원도,동해시태백시삼척시정선군,강원,동해태백삼척정선
강원도,속초시인제군고성군양양군,강원,속초인제고성양양
강원도,원주시갑,강원,원주시갑
강원도,원주시을,강원,원주시을
강원도,춘천시철원군화천군양구군갑,강원,춘천화천철원양구갑
강원도,춘천시철원군화천군양구군을,강원,춘천화천철원양구을
강원도,홍천군횡성군영월군평창군,강원,홍천횡성영월평창
경기도,고양시갑,경기,고양시갑
경기도,고양시병,경기,고양시병
경기도,고양시을,경기,고양시을
경기도,고양시정,경기,고양시정
경기도,광명시갑,경기,광명시갑
경기도,광명시을,경기,광명시을
경기도,광주시갑,경기,광주시갑
경기도,광주시을,경기,광주시을
경기도,구리시,경기,구리시
경기도,군포시,경기,군포시
경기도,김포시갑,경기,김포시갑
경기도,김포시을,경기,김포시을
경기도,남양주시갑,경기,남양주시갑
경기도,남양주시병,경기,남양주시병
경기도,남양주시을,경기,남양주시을
경기도,동두천시연천군,경기,동두천시연천군
경기도,부천시갑,경기,부천시갑
경기도,부천시병,경기,부천시병
경기도,부천시을,경기,부천시을
경기도,부천시정,경기,부천시정
경기도,성남시분당구갑,경기,성남시분당구갑
경기도,성남시분당구을,경기,성남시분당구을
경기도,성남시수정구,경기,성남시수정구
경기도,성남시중원구,경기,성남시중원구
경기도,수원시갑,경기,수원시갑
경기도,수원시무,경기,수원시무
경기도,수원시병,경기,수원시병
경기도,수원시을,경기,수원시을
경기도,수원시정,경기,수원시정
경기도,시흥시갑,경기,시흥시갑
경기도,시흥시을,경기,시흥시을
경기도,안산시단원구갑,경기,안산시단원구갑
경기도,안산시단원구을,경기,안산시단원구을
경기도,안산시상록구갑,경기,안산시상록구갑
경기도,안산시상록구을,경기,안산시상록구을
경기도,안성시,경기,안성시
경기도,안양시동안구갑,경기,안양시동안구갑
경기도,안양시동안구을,경기,안양시동안구을
경기도,안양시만안구,경기,안양시만안구
경기도,양주시,경기,양주시
경기도,여주시양평군,경기,여주양평
경기도,오산시,경기,오산시
경기도,용인시갑,경기,용인시갑
경기도,용인시병,경기,용인시병
경기도,용인시을,경기,용인시을
경기도,용인시정,경기,용인시정
경기도,의왕시과천시,경기,의왕과천
