province,district,town,party,candidate,early_in_person,election_day,sum
Busan,금정구,구서제1동,더불어민주당,박무성,0.4848413631022327,0.361798740295884,0.4090416892257715
Busan,금정구,구서제1동,미래통합당,백종헌,0.4700352526439483,0.5796103705873736,0.537538350478253
Busan,금정구,구서제1동,정의당,신수영,0.0199764982373678,0.022411015087153947,0.021476267821692836
Busan,금정구,구서제2동,더불어민주당,박무성,0.4946837267976212,0.3566181871602762,0.39659760997756094
Busan,금정구,구서제2동,미래통합당,백종헌,0.45918183456478645,0.5915968855589834,0.5532536659186975
Busan,금정구,구서제2동,정의당,신수영,0.016939989187240944,0.0210077861025415,0.019829880498878048
Busan,금정구,금사회동동,더불어민주당,박무성,0.3821760524876982,0.3005249343832021,0.3311461964322329
Busan,금정구,금사회동동,미래통합당,백종헌,0.5855658829961727,0.655511811023622,0.6292802952634816
Busan,금정구,금사회동동,정의당,신수영,0.014762165117550574,0.014763779527559055,0.014763174082427721
Busan,금정구,금성동,더불어민주당,박무성,0.40878378378378377,0.3626373626373626,0.38333333333333336
Busan,금정구,금성동,미래통합당,백종헌,0.5472972972972973,0.5906593406593407,0.5712121212121212
Busan,금정구,금성동,정의당,신수영,0.02027027027027027,0.019230769230769232,0.019696969696969695
Busan,금정구,남산동,더불어민주당,박무성,0.4579722703639515,0.34722719141323793,0.3795897695619144
Busan,금정구,남산동,미래통합당,백종헌,0.49263431542461006,0.5902504472271914,0.5617244872119523
Busan,금정구,남산동,정의당,신수영,0.022530329289428077,0.02665474060822898,0.025449480881235755
Busan,금정구,부곡제1동,더불어민주당,박무성,0.41563434429730883,0.3316616516215313,0.36852963240810205
Busan,금정구,부곡제1동,미래통합당,백종헌,0.5437847073900043,0.620193915078569,0.5866466616654163
Busan,금정구,부곡제1동,정의당,신수영,0.013242204186245195,0.020060180541624874,0.017066766691672917
Busan,금정구,부곡제2동,더불어민주당,박무성,0.4841628959276018,0.38016528925619836,0.411927288189646
Busan,금정구,부곡제2동,미래통합당,백종헌,0.4719805081796032,0.5595347413529231,0.5327947273307112
Busan,금정구,부곡제2동,정의당,신수영,0.02018795683954055,0.02157943067033976,0.02115445944509408
