province,district,win_party,turnout,election_day,early_voting,index,더불어민주당_vote,더불어민주당_early_voting,더불어민주당_election_day,미래통합당_vote,미래통합당_early_voting,미래통합당_election_day,vote(더불어민주당 - 미래통합당),early_voting(더불어민주당 - 미래통합당),election_day(더불어민주당 - 미래통합당)
Gangwon,강릉시,무소속,0.6663,0.369,0.2946,178,0.38763850700561436,0.4474850143341152,0.33568992886119114,0.11281426478094078,0.09538702111024237,0.12527191486859898,0.2748242422246736,0.3520979932238728,0.21041801399259216
Gangwon,동해태백삼척정선,미래통합당,0.6572,0.3566,0.294,179,0.43063644393873607,0.49757573731023874,0.3705722813569024,0.5360142529905828,0.47227981007155756,0.5829392283264961,-0.10537780905184674,0.025295927238681182,-0.21236694696959374
Gangwon,속초인제고성양양,미래통합당,0.6621,0.3784,0.277,180,0.4419856521966801,0.5105595035531979,0.3851368405870263,0.5256113525684663,0.4554098688819938,0.5705116648036636,-0.08362570037178613,0.055149634671204095,-0.18537482421663726
Gangwon,원주시갑,더불어민주당,0.6173,0.3455,0.2695,176,0.4856737832381116,0.5572239561573812,0.4251073695412565,0.4113041797328064,0.35015113907252216,0.4552848618448558,0.07436960350530519,0.20707281708485903,-0.030177492303599285
Gangwon,원주시을,더불어민주당,0.646,0.3632,0.2801,177,0.538863538432642,0.6163371381981247,0.4732316173615964,0.43187970257101505,0.35887178964533223,0.4825685224008075,0.10698383586162696,0.2574653485527925,-0.009336905039211085
Gangwon,춘천화천철원양구갑,더불어민주당,0.6851,0.3885,0.2933,175,0.5132428494747335,0.5832468229819223,0.45564386640976234,0.43936814661452345,0.3725255056380884,0.4846526439734532,0.07387470286021008,0.21072131734383392,-0.029008777563690857
Gangwon,춘천화천철원양구을,미래통합당,0.673,0.3789,0.2827,174,0.4635747180621532,0.5425341715208489,0.3990574770680804,0.5207600536679117,0.4411154045792722,0.5719725658503745,-0.05718533560575845,0.10141876694157675,-0.17291508878229406
Gangwon,홍천횡성영월평창,미래통합당,0.6709,0.3681,0.3,181,0.3840290318099736,0.4557234166182452,0.31890639336868787,0.48596159188776217,0.4306023629672671,0.5218581359543397,-0.10193256007778856,0.02512105365097811,-0.20295174258565185
Gyeonggi,고양시갑,정의당,0.6664,0.4213,0.2419,138,0.2736617627586399,0.33013041810510163,0.238270499322878,0.32756758263584473,0.2731108553893364,0.35590406710060724,-0.05390581987720483,0.05701956271576525,-0.11763356777772924
Gyeonggi,고양시병,더불어민주당,0.6641,0.4165,0.2439,140,0.5426830508129944,0.6190142403895816,0.4917316526012178,0.447204505866166,0.37240832288054304,0.48631556457643416,0.09547854494682839,0.2466059175090386,0.005416088024783661
Gyeonggi,고양시을,더불어민주당,0.6832,0.4256,0.2545,139,0.5247358090806286,0.6018382865913213,0.47331681123502684,0.35766186161985103,0.2943351472024557,0.39197645600991327,0.16707394746077753,0.30750313938886564,0.08134035522511357
Gyeonggi,고양시정,더불어민주당,0.689,0.4542,0.2316,141,0.5342421473372744,0.6259410665729453,0.48293499401555956,0.44873779286251547,0.35990825178964503,0.49055580490724116,0.0855043544747589,0.2660328147833003,-0.007620810891681595
Gyeonggi,광명시갑,더불어민주당,0.6792,0.4058,0.2708,129,0.47666481994459836,0.5475218658892128,0.4241874278171919,0.3698614958448753,0.3110926003054283,0.404498707584007,0.10680332409972304,0.23642926558378452,0.019688720233184853
Gyeonggi,광명시을,더불어민주당,0.6978,0.4445,0.251,130,0.6409676814678413,0.7077055004287639,0.5969975322182616,0.3051129660054471,0.24758054636775695,0.33412736495749934,0.33585471546239426,0.46012495406100695,0.26287016726076223
Gyeonggi,광주시갑,더불어민주당,0.6103,0.379,0.2293,166,0.5614977211343687,0.6183261790533906,0.5214846706244429,0.4269602464550979,0.37078809303369525,0.4561981803198735,0.1345374746792708,0.24753808601969535,0.0652864903045694
Gyeonggi,광주시을,더불어민주당,0.5988,0.3919,0.2047,165,0.5688081351228291,0.6432446150429845,0.5244178419153821,0.42182519893324083,0.34847571614376804,0.45619875368973434,0.1469829361895883,0.2947688988992164,0.06821908822564776
Gyeonggi,구리시,더불어민주당,0.6615,0.4259,0.2335,143,0.5864886680028659,0.6674958965941732,0.5348652711279368,0.39411225887196977,0.3170393926959376,0.43109063578666074,0.19237640913089615,0.35045650389823557,0.10377463534127607
Gyeonggi,군포시,더불어민주당,0.691,0.4406,0.2481,150,0.5741754438949501,0.6504482106590097,0.5245917630762628,0.40373362527841744,0.32967994957630087,0.44055446085412725,0.17044181861653268,0.32076826108270884,0.08403730222213551
Gyeonggi,김포시갑,더불어민주당,0.6744,0.4564,0.2156,161,0.5288597749686453,0.5870840383530739,0.4967027448492778,0.38491730503749017,0.32712915961646927,0.4089125004955794,0.14394246993115517,0.2599548787366046,0.08779024435369837
Gyeonggi,김포시을,더불어민주당,0.6332,0.4005,0.2307,160,0.5383213077886344,0.595552645731522,0.5001066581340159,0.44467539547998536,0.38899151214721633,0.47216222702183824,0.09364591230864905,0.20656113358430567,0.027944431112177648
Gyeonggi,남양주시갑,더불어민주당,0.6152,0.4044,0.2082,146,0.5795683704335686,0.651922139724221,0.5370116217952462,0.3811952222136043,0.31559785568901755,0.4115371138235122,0.19837314821996427,0.3363242840352034,0.12547450797173398
Gyeonggi,남양주시병,더불어민주당,0.6773,0.457,0.2181,144,0.500798894804044,0.5786670131219955,0.45896681463559663,0.47089441331816945,0.394547659261184,0.5033369898403781,0.0299044814858746,0.18411935386081152,-0.04437017520478148
Gyeonggi,남양주시을,더불어민주당,0.6049,0.4046,0.1975,145,0.5908371196475286,0.6718597857838364,0.5455274718278474,0.3143157097618064,0.2489012868759704,0.34295537021710065,0.2765214098857222,0.422958498907866,0.2025721016107468
Gyeonggi,동두천시연천군,미래통합당,0.6173,0.3422,0.2698,133,0.45018042056656205,0.508422616225783,0.39672324433199874,0.5361048513085676,0.47890395373091876,0.5748323548917983,-0.08592443074200551,0.029518662494864234,-0.17810911055979955
Gyeonggi,부천시갑,더불어민주당,0.5941,0.4143,0.1778,170,0.5917552207894672,0.6615821067346436,0.5535128723923812,0.3607830567814788,0.292286818518214,0.38529965813158445,0.23097216400798837,0.3692952882164296,0.16821321426079677
Gyeonggi,부천시병,더불어민주당,0.6435,0.4367,0.2044,172,0.6055735529448499,0.6817390878121706,0.561378434175004,0.32506147301042115,0.257113447540622,0.35150525193402754,0.2805120799344288,0.42462564027154864,0.20987318224097645
Gyeonggi,부천시을,더불어민주당,0.6769,0.4494,0.2252,171,0.5490737786707757,0.628688022852479,0.5033576051779936,0.3960181646630781,0.3192205672311773,0.43014765372168284,0.15305561400769757,0.30946745562130173,0.0732099514563107
Gyeonggi,부천시정,더불어민주당,0.5885,0.4218,0.1643,173,0.5674629532076682,0.6538035677670699,0.5263763274824316,0.36753624516158584,0.2841090834529424,0.3949988970472379,0.1999267080460823,0.36969448431412755,0.13137743043519368
Gyeonggi,성남시분당구갑,미래통합당,0.7564,0.4669,0.2863,123,0.4934668794176263,0.58060259511766,0.43567841264613866,0.5006952855156327,0.4135778450711374,0.5498003457928536,-0.007228406098006401,0.16702475004652262,-0.11412193314671498
Gyeonggi,성남시분당구을,더불어민주당,0.7362,0.4552,0.278,122,0.47942094009604264,0.5724523327701762,0.4190876971892792,0.451063829787234,0.36566845515474444,0.4996849472286608,0.02835711030880861,0.2067838776154317,-0.08059725003938162
Gyeonggi,성남시수정구,더불어민주당,0.631,0.3554,0.2733,120,0.6031417065071477,0.659585997615693,0.5484021268431727,0.3581090098364774,0.30282504244788844,0.39339746752178917,0.2450326966706703,0.3567609551678046,0.15500465932138352
